name;email;source_language;target_language;
Fulano Silva;fulano1@bureauworks.com;pt_br;en_us;
Fulano Silva;fulano2@bureauworks.com;pt_br;en_gb;
Fulano Silva;fulano3@bureauworks.com;en_us;pt_br;
Fulano Silva;fulano3@bureauworks.com;en_gb;pt_br;
Fulano Silva;fulano2@bureauworks.com;es_es;pt_br;
Sicrano José;fulano1@bureauworks.com;en_us;pt_br;
Sicrano José;fulano1@bureauworks.com;es_es;pt_br;
Sicrano José;fulano2@bureauworks.com;en_gb;pt_br;
Beltrano Antonio;fulano3@bureauworks.com;en_us;pt_br;
Beltrano Antonio;fulano3@bureauworks.com;es_es;pt_br;
Beltrano Antonio;fulano2@bureauworks.com;en_gb;pt_br;
Batata Antonio;fulano2@bureauworks.com;en_gb;pt_br;
Batata Antonio;fulano2@bureauworks.com;ja_jp;pt_br;
